tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitSteps
28.00;471664572#0_1;7.36;10.39;10.00;0.00;326309727#1_0;5.10;0.00;tripinfo_10;18.00;10;0;170.85;1.00;6.42;DEFAULT_VEHTYPE;;0
62.00;27028143#0_0;181.09;10.91;9.00;0.00;-326309732_0;5.10;0.00;tripinfo_9;53.00;9;0;552.90;1.00;5.82;DEFAULT_VEHTYPE;;0
65.00;219276443#1_0;41.35;10.45;25.00;0.00;-326309730_0;5.10;0.00;tripinfo_25;40.00;25;0;406.36;1.00;5.62;DEFAULT_VEHTYPE;;0
65.00;48158102#2_0;3.25;9.03;14.00;0.00;219276440#1_0;5.10;0.00;tripinfo_14;51.00;14;0;472.95;1.00;7.95;DEFAULT_VEHTYPE;;0
67.00;326467649_0;3.49;8.62;51.00;0.00;442662512_0;3.60;0.00;tripinfo_51;16.00;51;0;83.39;1.00;8.47;DEFAULT_VEHTYPE;;2
80.00;219276440#2_0;98.85;9.99;28.00;0.00;27028182_0;5.10;0.00;tripinfo_28;52.00;28;0;488.18;1.00;7.81;DEFAULT_VEHTYPE;;0
87.00;48158102#0_0;114.19;11.06;34.00;0.00;326467636#0_0;5.10;0.00;tripinfo_34;53.00;34;0;471.61;1.00;10.03;DEFAULT_VEHTYPE;;0
88.00;326309732_0;68.80;10.44;1.00;0.00;-326467649_0;3.49;0.00;tripinfo_1;87.00;1;0;808.84;1.00;14.36;DEFAULT_VEHTYPE;;0
91.00;458718920#0_0;135.78;9.85;20.00;0.00;326126530#0_0;5.10;0.00;tripinfo_20;71.00;20;0;655.94;1.00;11.53;DEFAULT_VEHTYPE;;0
104.00;444048536#1_0;97.80;10.30;43.00;0.00;451653455#2_0;5.10;0.00;tripinfo_43;61.00;43;0;524.24;1.00;8.05;DEFAULT_VEHTYPE;;0
104.00;219276440#8_0;66.12;9.97;12.00;0.00;444013695#1_0;5.10;0.00;tripinfo_12;92.00;12;0;765.76;1.00;25.02;DEFAULT_VEHTYPE;;7
107.00;326467650_0;3.51;9.05;69.00;0.00;444013695#1_0;5.10;0.00;tripinfo_69;38.00;69;0;326.21;1.00;12.62;DEFAULT_VEHTYPE;;0
115.00;-208004245_1;32.66;13.52;22.00;0.00;326467642_0;5.10;0.00;tripinfo_22;93.00;22;0;875.24;1.00;15.52;DEFAULT_VEHTYPE;;0
115.00;444013695#0_1;99.61;15.78;77.00;0.00;326309727#2_0;5.10;0.00;tripinfo_77;38.00;77;0;497.35;1.00;6.11;DEFAULT_VEHTYPE;;0
119.00;126213877#1_0;89.86;10.53;7.00;0.00;326309727#5_0;5.10;0.00;tripinfo_7;112.00;7;0;991.55;1.00;43.50;DEFAULT_VEHTYPE;;22
121.00;208352993_0;44.41;10.49;39.00;0.00;27026401#0_0;5.10;0.00;tripinfo_39;82.00;39;0;656.46;1.00;34.42;DEFAULT_VEHTYPE;;15
122.00;287533429#0_0;259.83;16.31;48.00;0.00;407596050#2_0;5.10;0.00;tripinfo_48;74.00;48;0;745.35;1.00;9.05;DEFAULT_VEHTYPE;;0
125.00;326467641#0_0;44.16;10.46;18.00;0.00;451653573#0_0;5.10;0.00;tripinfo_18;107.00;18;0;1216.99;1.00;24.31;DEFAULT_VEHTYPE;;4
125.00;326467647_0;3.50;8.51;6.00;0.00;287533469#5_0;5.10;0.00;tripinfo_6;119.00;6;0;1137.62;1.00;16.68;DEFAULT_VEHTYPE;;0
127.00;451653029#3_1;21.81;16.43;3.00;0.00;-48156213_0;5.10;0.00;tripinfo_3;124.00;3;0;699.23;1.00;69.50;DEFAULT_VEHTYPE;;54
132.00;219276440#4_0;97.49;10.19;53.00;0.00;326309697_0;5.10;0.00;tripinfo_53;79.00;53;0;760.73;1.00;9.64;DEFAULT_VEHTYPE;;0
132.00;208928173#0_0;23.28;13.29;13.00;0.00;350274432_0;5.10;0.00;tripinfo_13;119.00;13;0;1168.31;1.00;27.85;DEFAULT_VEHTYPE;;2
134.00;407596050#0_0;95.95;10.57;31.00;0.00;326467642_0;5.10;0.00;tripinfo_31;103.00;31;0;449.78;1.00;62.36;DEFAULT_VEHTYPE;;48
134.00;447931030_0;35.65;9.88;5.00;0.00;444002075#1_0;5.10;0.00;tripinfo_5;129.00;5;0;1115.58;1.00;16.70;DEFAULT_VEHTYPE;;0
135.00;451653029#2_1;37.79;12.97;128.00;0.00;326309713#1_0;4.55;0.00;tripinfo_128;7.00;128;0;44.46;1.00;4.02;DEFAULT_VEHTYPE;;0
138.00;326309716#1_0;80.00;7.35;21.00;0.00;27026401#0_0;5.10;0.00;tripinfo_21;117.00;21;0;985.45;1.00;24.37;DEFAULT_VEHTYPE;;3
140.00;27028143#0_0;181.09;10.22;72.00;1.00;219276439#0_0;5.10;0.00;tripinfo_71;68.00;71;0;706.85;1.00;7.35;DEFAULT_VEHTYPE;;0
140.00;27102738#3_0;82.56;9.85;69.00;1.00;218873867#2_0;5.10;0.00;tripinfo_68;71.00;68;0;677.10;1.00;10.06;DEFAULT_VEHTYPE;;0
141.00;207989397_0;43.54;13.63;63.00;0.00;350274427#0_0;5.10;0.00;tripinfo_63;78.00;63;0;754.23;1.00;11.06;DEFAULT_VEHTYPE;;0
143.00;350274432_0;100.23;10.33;51.00;1.00;48158102#0_0;5.10;0.00;tripinfo_50;92.00;50;0;766.12;1.00;22.74;DEFAULT_VEHTYPE;;8
143.00;-287533481_0;64.38;9.97;8.00;0.00;126665636#0_0;5.10;0.00;tripinfo_8;135.00;8;0;926.08;1.00;55.07;DEFAULT_VEHTYPE;;41
143.00;219276442#0_0;54.54;10.67;73.00;0.00;326467641#0_0;5.10;0.00;tripinfo_73;70.00;73;0;577.57;1.00;17.47;DEFAULT_VEHTYPE;;2
147.00;27028176#1_0;89.92;10.80;91.00;0.00;444013695#2_0;5.10;0.00;tripinfo_91;56.00;91;0;232.58;1.00;35.80;DEFAULT_VEHTYPE;;26
148.00;444048533_0;109.97;10.34;57.00;0.00;444048536#1_0;5.10;0.00;tripinfo_57;91.00;57;0;768.30;1.00;34.16;DEFAULT_VEHTYPE;;21
149.00;287533401#1_1;8.83;10.16;47.00;0.00;-208928182_0;4.49;0.00;tripinfo_47;102.00;47;0;781.12;1.00;29.52;DEFAULT_VEHTYPE;;8
149.00;27103285_0;190.14;8.20;82.00;0.00;219276440#3_0;5.10;0.00;tripinfo_82;67.00;82;0;575.73;1.00;7.88;DEFAULT_VEHTYPE;;0
149.00;126550197_0;40.86;10.25;23.00;0.00;326467643#1_0;5.10;0.00;tripinfo_23;126.00;23;0;773.46;1.00;58.51;DEFAULT_VEHTYPE;;34
150.00;358291500_0;81.64;11.00;93.00;0.00;326467633_0;5.10;0.00;tripinfo_93;57.00;93;0;411.19;1.00;19.89;DEFAULT_VEHTYPE;;5
152.00;208356047#0_0;92.31;7.30;100.00;0.00;477174168#1_0;5.10;0.00;tripinfo_100;52.00;100;0;469.89;1.00;6.05;DEFAULT_VEHTYPE;;0
154.00;326126530#2_0;51.33;10.85;75.00;0.00;326309697_0;5.10;0.00;tripinfo_75;79.00;75;0;737.28;1.00;12.63;DEFAULT_VEHTYPE;;0
157.00;207989397_0;43.54;12.60;74.00;0.00;219276441#0_0;5.10;0.00;tripinfo_74;83.00;74;0;793.26;1.00;9.87;DEFAULT_VEHTYPE;;0
158.00;208928182_0;4.49;9.57;65.00;1.00;48158102#1_0;5.10;0.00;tripinfo_64;93.00;64;0;772.52;1.00;27.39;DEFAULT_VEHTYPE;;13
161.00;326309725#1_0;6.07;7.15;61.00;0.00;326309716#1_0;5.10;0.00;tripinfo_61;100.00;61;0;905.18;1.00;10.62;DEFAULT_VEHTYPE;;0
162.00;451652905#1_1;9.34;10.18;38.00;0.00;471664572#1_0;5.10;0.00;tripinfo_38;124.00;38;0;1052.49;1.00;29.59;DEFAULT_VEHTYPE;;6
164.00;326309727#1_2;40.75;16.41;89.00;0.00;451653573#0_0;5.10;0.00;tripinfo_89;75.00;89;0;718.47;1.00;25.07;DEFAULT_VEHTYPE;;7
168.00;321457778#0_0;234.63;9.82;27.00;0.00;229187724#3_0;4.52;0.00;tripinfo_27;141.00;27;0;1305.02;1.00;17.27;DEFAULT_VEHTYPE;;0
168.00;219276440#0_0;50.69;10.55;16.00;0.00;27103144#2_0;5.10;0.00;tripinfo_16;152.00;16;0;1224.61;1.00;41.11;DEFAULT_VEHTYPE;;7
171.00;48156213_0;92.83;12.94;32.00;0.00;27028176#0_0;5.10;0.00;tripinfo_32;139.00;32;0;788.61;1.00;86.80;DEFAULT_VEHTYPE;;56
171.00;444002075#1_0;163.29;9.97;24.00;0.00;48158102#0_0;5.10;0.00;tripinfo_24;147.00;24;0;1214.95;1.00;34.59;DEFAULT_VEHTYPE;;16
171.00;208928173#2_0;92.51;13.44;40.00;0.00;208356047#1_0;5.10;0.00;tripinfo_40;131.00;40;0;1263.05;1.00;19.83;DEFAULT_VEHTYPE;;4
171.00;326467636#1_0;37.18;9.92;150.00;0.00;326467638#2_0;5.10;0.00;tripinfo_150;21.00;150;0;127.41;1.00;8.85;DEFAULT_VEHTYPE;;0
177.00;326467637#1_0;11.60;9.59;78.00;0.00;219276443#1_0;5.10;0.00;tripinfo_78;99.00;78;0;820.37;1.00;25.06;DEFAULT_VEHTYPE;;7
179.00;-186936338#1_0;118.92;10.51;58.00;0.00;562102993_0;5.10;0.00;tripinfo_58;121.00;58;0;1166.01;1.00;15.70;DEFAULT_VEHTYPE;;0
180.00;27102750#0_0;65.95;10.06;99.00;0.00;287533469#0_0;5.10;0.00;tripinfo_99;81.00;99;0;750.98;1.00;12.72;DEFAULT_VEHTYPE;;3
180.00;244757077_0;57.09;10.55;15.00;0.00;27103144#0_0;5.10;0.00;tripinfo_15;165.00;15;0;1096.52;1.00;72.74;DEFAULT_VEHTYPE;;42
181.00;442662512_2;3.60;12.24;36.00;0.00;326309727#5_0;5.10;0.00;tripinfo_36;145.00;36;0;1081.26;1.00;75.72;DEFAULT_VEHTYPE;;51
182.00;287533469#0_0;161.51;10.82;35.00;0.00;415931799#0_0;5.10;0.00;tripinfo_35;147.00;35;0;1426.21;1.00;15.93;DEFAULT_VEHTYPE;;0
182.00;48207551_0;111.93;10.06;49.00;0.00;451653288_0;5.10;0.00;tripinfo_49;133.00;49;0;654.72;1.00;80.56;DEFAULT_VEHTYPE;;56
185.00;219276440#4_0;97.49;10.90;76.00;0.00;287533429#2_0;5.10;0.00;tripinfo_76;109.00;76;0;723.71;1.00;46.81;DEFAULT_VEHTYPE;;33
189.00;219276441#0_0;79.91;8.09;88.00;0.00;458718920#0_0;5.10;0.00;tripinfo_88;101.00;88;0;963.75;1.00;11.39;DEFAULT_VEHTYPE;;0
190.00;444048516#0_0;93.43;8.03;29.00;0.00;287533401#1_0;5.10;0.00;tripinfo_29;161.00;29;0;1444.57;1.00;19.02;DEFAULT_VEHTYPE;;0
195.00;40171837_0;84.64;11.08;37.00;0.00;350274432_0;5.10;0.00;tripinfo_37;158.00;37;0;1475.95;1.00;20.63;DEFAULT_VEHTYPE;;0
202.00;326467636#0_0;36.17;10.87;188.00;0.00;326467649_0;3.49;0.00;tripinfo_188;14.00;188;0;105.49;1.00;4.03;DEFAULT_VEHTYPE;;0
205.00;219276439#1_0;149.17;9.98;130.00;1.00;444002077_0;5.10;0.00;tripinfo_129;75.00;129;0;646.33;1.00;16.17;DEFAULT_VEHTYPE;;4
206.00;69749637#2_0;7.45;10.01;4.00;0.00;326309727#3_0;5.10;0.00;tripinfo_4;202.00;4;0;1370.89;1.00;75.58;DEFAULT_VEHTYPE;;47
208.00;219276442#0_0;54.54;10.13;92.00;0.00;451653029#3_0;5.10;0.00;tripinfo_92;116.00;92;0;1260.75;1.00;18.18;DEFAULT_VEHTYPE;;0
210.00;253257589#0_0;172.84;9.20;45.00;0.00;444013696#0_0;5.10;0.00;tripinfo_45;165.00;45;0;1336.87;1.00;41.26;DEFAULT_VEHTYPE;;12
211.00;208356047#0_0;92.31;7.24;42.00;0.00;287533399_0;5.10;0.00;tripinfo_42;169.00;42;0;1581.19;1.00;19.09;DEFAULT_VEHTYPE;;0
214.00;27028045#2_0;79.13;10.14;102.00;0.00;415931799#1_0;5.10;0.00;tripinfo_102;112.00;102;0;816.49;1.00;52.19;DEFAULT_VEHTYPE;;36
216.00;130583576_0;82.73;10.66;139.00;0.00;451653183_0;5.10;0.00;tripinfo_139;77.00;139;0;903.41;1.00;13.44;DEFAULT_VEHTYPE;;0
218.00;208004245_0;32.66;13.58;161.00;2.00;407596050#2_0;5.10;0.00;tripinfo_159;57.00;159;0;518.27;1.00;10.56;DEFAULT_VEHTYPE;;0
220.00;287533401#0_1;70.84;10.52;145.00;0.00;477174168#1_0;5.10;0.00;tripinfo_145;75.00;145;0;651.33;1.00;9.81;DEFAULT_VEHTYPE;;0
221.00;207989397_0;43.54;13.70;109.00;0.00;407596050#0_0;5.10;0.00;tripinfo_109;112.00;109;0;1043.94;1.00;16.18;DEFAULT_VEHTYPE;;0
221.00;451653455#1_0;111.75;10.24;72.00;2.00;27028159_0;5.10;0.00;tripinfo_70;149.00;70;0;929.68;1.00;64.98;DEFAULT_VEHTYPE;;42
223.00;295701557_1;0.20;7.24;17.00;0.00;287533429#0_0;5.10;0.00;tripinfo_17;206.00;17;0;2081.77;1.00;24.52;DEFAULT_VEHTYPE;;0
225.00;219276440#0_0;50.69;10.80;62.00;0.00;444002072#0_0;5.10;0.00;tripinfo_62;163.00;62;0;1843.11;1.00;24.67;DEFAULT_VEHTYPE;;0
226.00;326467635#1_0;11.76;8.30;106.00;0.00;219276440#6_0;5.10;0.00;tripinfo_106;120.00;106;0;782.10;1.00;49.57;DEFAULT_VEHTYPE;;22
230.00;477174168#1_1;102.44;10.38;113.00;0.00;444002077_0;5.10;0.00;tripinfo_113;117.00;113;0;1028.89;1.00;21.18;DEFAULT_VEHTYPE;;1
231.00;219276440#2_0;98.85;10.61;111.00;0.00;454586930#2_0;3.28;0.00;tripinfo_111;120.00;111;0;1124.37;1.00;13.28;DEFAULT_VEHTYPE;;0
232.00;27028095_0;219.03;10.05;56.00;0.00;451653288_0;5.10;0.00;tripinfo_56;176.00;56;0;1697.25;1.00;35.04;DEFAULT_VEHTYPE;;4
232.00;444048526#0_0;169.45;10.63;72.00;0.00;358291500_0;5.10;0.00;tripinfo_72;160.00;72;0;1534.40;1.00;17.25;DEFAULT_VEHTYPE;;0
232.00;208356051#0_0;67.50;9.95;115.00;0.00;219276439#1_0;5.10;0.00;tripinfo_115;117.00;115;0;1161.65;1.00;12.00;DEFAULT_VEHTYPE;;0
233.00;350274427#0_0;110.73;9.89;66.00;0.00;444013695#2_0;5.10;0.00;tripinfo_66;167.00;66;0;1243.09;1.00;52.63;DEFAULT_VEHTYPE;;27
233.00;350274432_0;100.23;10.32;157.00;0.00;326467636#0_0;5.10;0.00;tripinfo_157;76.00;157;0;715.95;1.00;11.26;DEFAULT_VEHTYPE;;0
234.00;161357702#0_0;8.17;8.08;94.00;0.00;-326309731#2_0;5.10;0.00;tripinfo_94;140.00;94;0;1217.06;1.00;18.57;DEFAULT_VEHTYPE;;1
235.00;208928182_0;4.49;10.36;132.00;1.00;219276440#5_0;4.35;0.00;tripinfo_131;103.00;131;0;895.49;1.00;25.85;DEFAULT_VEHTYPE;;7
237.00;471664572#1_0;13.81;15.52;192.00;0.00;444002072#1_0;5.10;0.00;tripinfo_192;45.00;192;0;351.85;1.00;23.54;DEFAULT_VEHTYPE;;13
